ID,EmriV,NrV,NrQV,NRVV,Komuna,EQV,01gja,02gja,P01KA,P02A,P02B,P03Perg,P04KVV,P04Fem,P05Lla,P05Ngj,P05Lis,P05Flv,P05Vul,P05Kut,P05Lib,P05Kab,P05ZFK,P06NFP,P07VNL,P08NKV,P09TKZ,P10SHS,P11NRS,P12KFV,PV1KHV,PDK,LDK,LVV,AAK,AKR,ParTj01,ParTj02,ParTj03,OJQ,Media,VzhND,VzhTjere,PV03UVL,PV04IDK,PV05GSH,PV06VUL,PV07-10,PV07-13,PV07-16,PV07-19,PV08ELV,PV09NVK,PV10VAS,PV11-3AN,PV12_Ref,PV12IFPo,ProcVotKom,PA01x1,PAifPO,PA02Fot,PA03M1F,PA04PPD,PA05DHU,PA06PRP,PA07M1P,PA08MBV,PA09VJK,PA10VAV,PA11VMF,PA12PAA,PA13INC,PM01PPV,PM02PJA,PM03LVT,PM04NUM,PM05-PDK,PM05-LDK,PM05-LVV,PM05-AAK,PM05-AKR,PM05-TJ1,PM05-TJ2,PM05-TJ3,PM05-OJQ,PM05-MED,PM05-VZH,PM05-TJE,PM06PPA,PM06KUSH,PM07VSH,PM08SHS,PM09SS,PM10NEN,PM11NVL,PM12NSH,PM13FVP,PM14PSH,PM15VSS,PM16ANA,PAK01,PAK02,PAK03,PAK04,PKK01,PKK02,PKK03,PKK04,VK00,VK01,VK02,PNR01,PNR02,PNR03,PNR04,PNR04Kush,PNR05Kom,VezhEm01,NrV01,VezhEm02,NrV02,KmnInc,Lokacioni,IncOra,IncTxt,IncVet,IncDeshm1,ID1Kon,IncDeshm2,ID2Kon,IncDeshm3,ID3Kon,IncKomTj,KomShtese,User,Time
11,,,1811e,1,Podujevë,shkolla Ali hajdari,PO,N/A,6:00 - 7:00,PO,PO,6:00 - 7:00,20,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,750,439,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,58,195,340,439,7,19,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,N/A,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,,JO,,PO,PO,PO,,764,439,JO,JO,PO,PO,439,49,,PO,439,3,PO,PO,,,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
12,,,1832X,1,Podujevë,Sibofc,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,883,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,60,225,325,460,5,12,16,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,PO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,460,460,PO,PO,PO,PO,414,46,,,450,,,,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
13,,,1843e,01R,Podujevë,Demosh,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,881,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,90,226,322,406,10,0,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,N/A,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,881,406,PO,PO,PO,PO,406,51,PO,PO,406,8,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
14,,,1817E,1,Podujevë,Terrnave,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2182,2182,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,lb,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,152,539,934,1034,0,27,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,2182,403,PO,PO,PO,PO,403,41,PO,PO,855,9,PO,PO,27,27,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
15,,,1828e,01d,Podujevë,Rilindja Mertic,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,14,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650,650,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,KQZ,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,70,173,265,353,10,6,55,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,KQZ,JO,,PO,PO,PO,PO,650,347,PO,PO,PO,PO,347,4,PO,PO,347,7,PO,PO,6,6,,,,,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
16,,,1801R,1,Podujevë,Enver Maloku,PO,PO,6:00 - 7:00,PO,N/A,6:00 - 7:00,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,56,211,0,0,0,0,0,PO,PO,4,Kane bere gabime gjate votimit,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,JO,PO,PO,PO,511,511,PO,PO,PO,PO,511,32,PO,PO,511,6,PO,PO,0,0,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
17,,,1836e,1,Podujevë,Sk. Jetullah Islami - Dyze,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,600,640,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,80,200,323,399,14,4,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,640,385,PO,PO,PO,PO,385,28,PO,PO,385,2,PO,PO,14,14,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
18,,,1824E,01R,Podujevë,Isa Boletini,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,900,951,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,53,157,276,376,0,0,4,PO,JO,0,,PO,JO,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,931,375,PO,PO,PO,PO,375,39,PO,PO,375,8,PO,PO,0,0,,Gjithmonë,Gjithmonë,,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
19,,,1801E,1,Podujevë,N/A,PO,N/A,6:00 - 7:00,PO,PO,6:00 - 7:00,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,468,919,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,0,0,0,0,0,0,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,,,,919,468,,,,,468,80,PO,,468,15,PO,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
20,,,1833e,1,Podujevë,Hyzri Samiu,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,17,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1250,1303,4,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,145,404,644,810,0,16,41,PO,JO,0,,JO,,JO,JO,JO,JO,PO,PO,JO,JO,0,0,N/A,N/A,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,685,433,PO,PO,PO,PO,685,44,,,685,6,PO,PO,0,0,,,,,,,"Pefaqesuesit e LDK-se kane tentuar qe ti bindin vezhguesit dhe komisioneret e partive tjera qe ti ndajne votat e pavlefshme pergjysme, mirepo nuk ja arriten qellimit.",,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
21,,,1806E,1,Podujevë,Sh F Sami Frasheri - Zhiti,PO,,6:00 - 7:00,JO,PO,5:00 - 5:30,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,800,844,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,KDI,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,60,171,239,312,0,57,10,PO,N/A,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,884,312,JO,JO,PO,PO,312,0,,,312,0,PO,PO,0,0,,,,,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
22,,,1814E,01R,Podujevë,sfeqer,N/A,N/A,6:00 - 7:00,,,5:00 - 5:30,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,750,764,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,48,173,280,382,30,0,18,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,30,0,Rrallë Herë,JO,19:30 +,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,764,382,PO,PO,PO,PO,382,40,PO,PO,382,9,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
23,,,1813e,1,Podujevë,shajkovc,PO,JO,6:00 - 7:00,,,6:00 - 7:00,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,820,0,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,lb,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,135,277,355,455,0,11,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Aspak,N/A,19:00 - 19:30,JO,,20:00 - 21:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,820,455,PO,PO,PO,PO,455,1,PO,PO,455,1,PO,PO,11,0,PO,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
24,,,1838E,01R,Podujevë,sh.f. Ladoc,PO,PO,6:00 - 7:00,,PO,6:00 - 7:00,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650,412,3,PO,PO,N/A,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,70,300,350,412,7,0,20,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,696,412,PO,PO,PO,PO,412,36,PO,PO,412,0,PO,PO,0,0,,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
25,,,1829c,01d,Podujevë,ballate,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700,1385,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,PD,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,140,399,520,685,3,4,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:30 +,JO,,22:00 +,TRUE,TRUE,TRUE,TRUE,TRUE,LB,PD,,FALSE,FALSE,FALSE,,,,PO,PO,PO,,1385,658,PO,PO,PO,PO,646,38,PO,PO,2658,15,PO,PO,15,15,PO,,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
26,,,1834e,1,Podujevë,sh.f ilir konushefci - lluge,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,870,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,lb,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,86,271,409,582,20,9,0,PO,JO,0,,JO,,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,lb,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,870,402,PO,PO,PO,,402,33,PO,PO,402,7,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/29/2013
